YYYYMMDD	Hour	Lat	Long	Baro	Dry	Wet
1943-01-05	16	51.88	-176.65	29.40	27.3	25.0
1943-01-05	17	51.88	-176.65	29.41	25.3	24.7
1943-01-05	18	51.88	-176.65	29.41	25.3	24.0
1943-01-05	19	51.88	-176.65	29.43	27.3	23.9
1943-01-05	20	51.88	-176.65	29.44	24.4	22.3
1943-01-05	21	51.88	-176.65	29.45	24.4	23.8
1943-01-05	22	51.88	-176.65	29.45	25.3	22.9
1943-01-05	23	51.88	-176.65	29.46	25.3	22.1
1943-01-05	24	51.88	-176.65	29.47	25.3	23.1
1943-01-06	01	51.88	-176.65	29.49	25.3	22.4
1943-01-06	02	51.88	-176.65	29.49	25.3	22.9
1943-01-06	03	51.88	-176.65	29.48	24.4	23.1
1943-01-06	04	51.88	-176.65	29.47	25.3	22.9
1943-01-06	05	51.88	-176.65	29.48	23.4	21.8
1943-01-06	06	51.88	-176.65	29.48	23.4	21.8
1943-01-06	07	51.88	-176.65	29.50	24.4	23.1
1943-01-06	08	51.88	-176.65	29.51	24.4	20.8
1943-01-06	09	51.88	-176.65	29.50	23.4	21.8
1943-01-06	10	51.88	-176.65	29.51	23.4	20.7
1943-01-06	11	51.88	-176.65	29.52	22.5	21.2
1943-01-06	12	51.88	-176.65	29.53	23.4	20.7
1943-01-06	13	51.88	-176.65	29.54	24.4	20.8
1943-01-06	14	51.88	-176.65	29.54	24.4	22.0
1943-01-06	15	51.88	-176.65	29.52	24.4	22.0
1943-01-06	16	51.88	-176.65	29.51	24.4	22.3
1943-01-06	17	51.88	-176.65	29.50	24.4	21.5
1943-01-06	18	51.88	-176.65	29.53	24.4	23.1
1943-01-06	19	51.88	-176.65	29.54	23.4	21.8
1943-01-06	20	51.88	-176.65	29.56	21.4	19.9
1943-01-06	21	51.88	-176.65	29.56	21.4	20.2
1943-01-06	22	51.88	-176.65	29.58	22.5	21.2
1943-01-06	23	51.88	-176.65	29.59	22.5	22.1
1943-01-06	24	51.88	-176.65	29.58	21.4	20.5
1943-01-07	01	51.88	-176.65	29.59	18.3	15.9
1943-01-07	02	51.88	-176.65	29.60	20.3	18.9
1943-01-07	03	51.88	-176.65	29.61	19.4	17.8
1943-01-07	04	51.88	-176.65	29.61	21.4	17.5
1943-01-07	05	51.88	-176.65	29.62	19.4	18.3
1943-01-07	06	51.88	-176.65	29.63	17.4	16.4
1943-01-07	07	51.88	-176.65	29.63	18.3	17.2
1943-01-07	08	51.88	-176.65	29.64	17.4	15.6
1943-01-07	09	51.88	-176.65	29.65	19.4	17.3
1943-01-07	10	51.88	-176.65	29.66	18.3	16.5
1943-01-07	11	51.88	-176.65	29.67	15.4	14.2
1943-01-07	12	51.88	-176.65	29.68	19.4	17.3
1943-01-07	13	51.88	-176.65	29.68	24.4	20.8
1943-01-07	14	51.88	-176.65	29.67	27.3	23.9
1943-01-07	15	51.88	-176.65	29.66	28.4	24.9
1943-01-07	16	51.88	-176.65	29.66	28.4	24.9
1943-01-07	17	51.88	-176.65	29.64	28.4	24.9
1943-01-07	18	51.88	-176.65	29.64	28.4	24.6
1943-01-07	19	51.88	-176.65	29.65	28.4	25.7
1943-01-07	20	51.88	-176.65	29.66	29.3	25.7
1943-01-07	21	51.88	-176.65	29.66	29.3	25.7
1943-01-07	22	51.88	-176.65	29.64	29.3	25.7
1943-01-07	23	51.88	-176.65	29.65	28.4	25.7
1943-01-07	24	51.88	-176.65	29.64	29.3	26.6
1943-01-08	01	51.88	-176.65	29.65	29.3	25.2
1943-01-08	02	51.88	-176.65	29.65	29.3	25.7
1943-01-08	03	51.88	-176.65	29.64	29.3	25.7
1943-01-08	04	51.88	-176.65	29.62	30.4	27.3
1943-01-08	05	51.88	-176.65	29.62	30.4	28.5
1943-01-08	06	51.88	-176.65	29.62	27.0	25.6
1943-01-08	07	51.88	-176.65	29.62	28.4	27.0
1943-01-08	08	51.88	-176.65	29.63	25.3	22.4
1943-01-08	09	51.88	-176.65	29.63	25.3	22.4
1943-01-08	10	51.88	-176.65	29.64	22.5	19.4
1943-01-08	11	51.88	-176.65	29.65	20.3	18.1
1943-01-08	12	51.88	-176.65	29.66	24.4	21.3
1943-01-08	13	51.88	-176.65	29.65	28.4	24.9
1943-01-08	14	51.88	-176.65	29.64	29.3	25.4
1943-01-08	15	51.88	-176.65	29.62	32.4	28.2
1943-01-08	16	51.88	-176.65	29.61	32.4	28.5
1943-01-08	17	51.88	-176.65	29.58	32.4	29.1
1943-01-08	18	51.88	-176.65	29.59	32.4	28.2
1943-01-08	19	51.88	-176.65	29.59	32.4	28.5
1943-01-08	20	51.88	-176.65	29.60	32.4	29.5
1943-01-08	21	51.88	-176.65	29.59	32.4	30.4
1943-01-08	22	51.88	-176.65	29.58	31.3	29.8
1943-01-08	23	51.88	-176.65	29.58	32.4	28.2
1943-01-08	24	51.88	-176.65	29.58	32.4	28.5
1943-01-09	01	51.88	-176.65	29.56	32.4	28.5
1943-01-09	02	51.88	-176.65	29.56	33.4	30.8
1943-01-09	03	51.88	-176.65	29.55	32.4	29.1
1943-01-09	04	51.88	-176.65	29.55	32.4	30.4
1943-01-09	05	51.88	-176.65	29.54	32.4	31.6
1943-01-09	06	51.88	-176.65	29.54	31.3	29.8
1943-01-09	07	51.88	-176.65	29.53	30.4	30.0
1943-01-09	08	51.88	-176.65	29.52	31.3	29.1
1943-01-09	09	51.88	-176.65	29.55	31.3	29.1
1943-01-09	10	51.88	-176.65	29.55	31.3	29.5
1943-01-09	11	51.88	-176.65	29.55	31.3	28.2
1943-01-09	12	51.88	-176.65	29.57	31.3	28.2
1943-01-09	13	51.88	-176.65	29.58	32.4	28.5
1943-01-09	14	51.88	-176.65	29.59	32.4	29.5
1943-01-09	15	51.88	-176.65	29.58	32.4	30.4
1943-01-09	16	51.88	-176.65	29.58	32.4	29.1
1943-01-09	17	51.88	-176.65	29.57	32.4	29.1
1943-01-09	18	51.88	-176.65	29.57	31.3	28.2
1943-01-09	19	51.88	-176.65	29.60	31.3	28.2
1943-01-09	20	51.88	-176.65	29.62	31.3	29.1
1943-01-09	21	51.88	-176.65	29.61	31.3	28.2
1943-01-09	22	51.88	-176.65	29.61	31.3	26.8
1943-01-09	23	51.88	-176.65	29.60	30.4	27.6
1943-01-09	24	51.88	-176.65	29.62	30.4	27.6
1943-01-10	01	51.88	-176.65	29.61	30.4	28.2
1943-01-10	02	51.88	-176.65	29.61	30.4	28.2
1943-01-10	03	51.88	-176.65	29.63	30.4	28.2
1943-01-10	04	51.88	-176.65	29.62	30.4	28.2
1943-01-10	05	51.88	-176.65	29.64	29.3	27.9
1943-01-10	06	51.88	-176.65	29.64	29.3	27.6
1943-01-10	07	51.88	-176.65	29.63	30.4	27.6
1943-01-10	08	51.88	-176.65	29.62	29.3	26.9
1943-01-10	09	51.88	-176.65	29.60	29.3	27.6
1943-01-10	10	51.88	-176.65	29.59	29.3	26.6
1943-01-10	11	51.88	-176.65	29.62	29.3	25.7
1943-01-10	12	51.88	-176.65	29.62	28.4	25.7
1943-01-10	13	51.88	-176.65	29.63	28.4	26.0
1943-01-10	14	51.88	-176.65	29.61	29.3	26.6
1943-01-10	15	51.88	-176.65	29.60	28.4	26.0
1943-01-10	16	51.88	-176.65	29.58	28.4	26.6
1943-01-10	17	51.88	-176.65	29.57	28.4	26.0
1943-01-10	18	51.88	-176.65	29.57	28.4	25.7
1943-01-10	19	51.88	-176.65	29.57	28.4	26.0
1943-01-10	20	51.88	-176.65	29.58	28.4	25.7
1943-01-10	21	51.88	-176.65	29.59	28.4	25.7
1943-01-10	22	51.88	-176.65	29.59	28.4	26.0
1943-01-10	23	51.88	-176.65	29.59	28.4	25.7
1943-01-10	24	51.88	-176.65	29.59	28.4	25.7
1943-01-11	01	51.88	-176.65	29.60	28.4	25.7
1943-01-11	02	51.88	-176.65	29.60	28.4	25.7
1943-01-11	03	51.88	-176.65	29.61	28.4	25.7
1943-01-11	04	51.88	-176.65	29.62	28.4	26.0
1943-01-11	05	51.88	-176.65	29.62	28.4	26.6
1943-01-11	06	51.88	-176.65	29.63	28.4	26.0
1943-01-11	07	51.88	-176.65	29.64	28.4	26.6
1943-01-11	08	51.88	-176.65	29.65	28.4	23.9
1943-01-11	09	51.88	-176.65	29.67	28.4	26.0
1943-01-11	10	51.88	-176.65	29.70	28.4	25.7
1943-01-11	11	51.88	-176.65	29.73	28.4	25.7
1943-01-11	12	51.88	-176.65	29.76	28.4	24.9
1943-01-11	13	51.88	-176.65	29.77	28.4	25.7
1943-01-11	14	51.88	-176.65	29.80	28.4	25.7
1943-01-11	15	51.88	-176.65	29.82	28.4	25.7
1943-01-11	16	51.88	-176.65	29.83	28.4	24.9
1943-01-11	17	51.88	-176.65	29.86	28.4	24.9
1943-01-11	18	51.88	-176.65	29.88	28.4	26.0
1943-01-11	19	51.88	-176.65	29.93	28.4	26.0
1943-01-11	20	51.88	-176.65	29.95	28.4	24.9
1943-01-11	21	51.88	-176.65	29.99	29.3	25.8
1943-01-11	22	51.88	-176.65	30.01	29.3	25.8
1943-01-11	23	51.88	-176.65	30.01	30.4	26.5
1943-01-11	24	51.88	-176.65	30.04	30.4	26.5
1943-01-12	01	51.88	-176.65	30.06	29.3	25.3
1943-01-12	02	51.88	-176.65	30.08	29.3	27.9
1943-01-12	03	51.88	-176.65	30.10	29.3	25.3
1943-01-12	04	51.88	-176.65	30.11	29.3	25.3
1943-01-12	05	51.88	-176.65	30.13	30.4	27.0
1943-01-12	06	51.88	-176.65	30.15	30.4	27.0
1943-01-12	07	51.88	-176.65	30.19	31.3	29.1
1943-01-12	08	51.88	-176.65	30.19	31.3	27.6
1943-01-12	09	51.88	-176.65	30.23	30.4	27.0
1943-01-12	10	51.88	-176.65	30.26	31.3	29.1
1943-01-12	11	51.88	-176.65	30.28	32.4	28.6
1943-01-12	12	51.88	-176.65	30.30	32.4	28.3
1943-01-12	13	51.88	-176.65	30.31	32.4	29.5
1943-01-12	14	51.88	-176.65	30.33	32.4	29.5
1943-01-12	15	51.88	-176.65	30.36	32.4	29.5
1943-01-12	16	51.88	-176.65	30.36	32.4	28.3
1943-01-12	17	51.88	-176.65	30.36	33.4	30.2
1943-01-12	18	51.88	-176.65	30.39	32.4	29.2
1943-01-12	19	51.88	-176.65	30.42	32.4	28.6
1943-01-12	20	51.88	-176.65	30.44	32.4	28.6
1943-01-12	21	51.88	-176.65	30.45	32.4	28.6
1943-01-12	22	51.88	-176.65	30.46	32.4	29.2
1943-01-12	23	51.88	-176.65	30.47	31.3	28.5
1943-01-12	24	51.88	-176.65	30.49	31.3	28.5
1943-01-13	01	51.88	-176.65	30.50	31.3	27.6
1943-01-13	02	51.88	-176.65	30.52	31.3	27.6
1943-01-13	03	51.88	-176.65	30.51	32.4	29.2
1943-01-13	04	51.88	-176.65	30.50	32.4	29.5
1943-01-13	05	51.88	-176.65	30.49	32.4	29.5
1943-01-13	06	51.88	-176.65	30.48	32.4	31.6
1943-01-13	07	51.88	-176.65	30.48	33.4	31.8
1943-01-13	08	51.88	-176.65	30.47	33.4	32.6
1943-01-13	09	51.88	-176.65	30.46	33.4	31.8
1943-01-13	10	51.88	-176.65	30.47	34.3	30.7
1943-01-13	11	51.88	-176.65	30.48	33.4	30.2
1943-01-13	12	51.88	-176.65	30.48	33.4	29.8
1943-01-13	13	51.88	-176.65	30.48	34.3	30.1
1943-01-13	14	51.88	-176.65	30.45	34.3	30.1
1943-01-13	15	51.88	-176.65	30.43	34.3	30.1
1943-01-13	16	51.88	-176.65	30.42	34.3	30.7
1943-01-13	17	51.88	-176.65	30.40	34.3	30.7
1943-01-13	18	51.88	-176.65	30.40	34.3	31.0
1943-01-13	19	51.88	-176.65	30.42	34.3	30.7
1943-01-13	20	51.88	-176.65	30.40	34.3	32.4
1943-01-13	21	51.88	-176.65	30.39	34.3	31.0
1943-01-13	22	51.88	-176.65	30.39	34.3	32.4
1943-01-13	23	51.88	-176.65	30.36	34.3	32.4
1943-01-13	24	51.88	-176.65	30.33	34.3	31.7
1943-01-14	01	51.88	-176.65	30.32	35.4	31.4
1943-01-14	02	51.88	-176.65	30.29	35.4	32.3
1943-01-14	03	51.88	-176.65	30.27	36.3	33.9
1943-01-14	04	51.88	-176.65	30.24	36.3	33.5
1943-01-14	05	51.88	-176.65	30.22	36.3	33.5
1943-01-14	06	51.88	-176.65	30.19	34.3	32.8
1943-01-14	07	51.88	-176.65	30.16	35.4	34.6
1943-01-14	08	51.88	-176.65	30.15	35.4	33.7
1943-01-14	09	51.88	-176.65	30.12	34.3	32.4
1943-01-14	10	51.88	-176.65	30.08	34.3	32.8
1943-01-14	11	51.88	-176.65	30.05	34.3	31.6
1943-01-14	12	51.88	-176.65	30.00	33.4	30.8
1943-01-14	13	51.88	-176.65	29.93	32.4	30.4
1943-01-14	14	51.88	-176.65	29.88	32.4	30.4
1943-01-14	15	51.88	-176.65	29.80	30.4	30.0
1943-01-14	16	51.88	-176.65	29.74	30.4	30.4
1943-01-14	17	51.88	-176.65	29.71	30.4	30.0
1943-01-14	18	51.88	-176.65	29.65	31.3	31.3
1943-01-14	19	51.88	-176.65	29.59	32.4	32.4
1943-01-14	20	51.88	-176.65	29.54	32.4	32.4
1943-01-14	21	51.88	-176.65	29.49	32.4	32.4
1943-01-14	22	51.88	-176.65	29.44	33.4	33.4
1943-01-14	23	51.88	-176.65	29.38	34.3	33.1
1943-01-14	24	51.88	-176.65	29.34	34.3	34.0
1943-01-15	01	51.88	-176.65	29.29	33.4	33.4
1943-01-15	02	51.88	-176.65	29.21	33.4	33.4
1943-01-15	03	51.88	-176.65	29.18	33.4	33.4
1943-01-15	04	51.88	-176.65	29.18	34.3	34.3
1943-01-15	05	51.88	-176.65	29.25	35.4	35.0
1943-01-15	06	51.88	-176.65	29.33	36.3	34.6
1943-01-15	07	51.88	-176.65	29.39	36.3	34.2
1943-01-15	08	51.88	-176.65	29.45	36.3	34.2
1943-01-15	09	51.88	-176.65	29.57	36.3	34.2
1943-01-15	10	51.88	-176.65	29.59	36.3	34.7
1943-01-15	11	51.88	-176.65	29.63	37.4	34.5
1943-01-15	12	51.88	-176.65	29.67	37.4	35.3
1943-01-15	13	51.88	-176.65	29.70	37.4	35.7
1943-01-15	14	51.88	-176.65	29.73	36.3	35.5
1943-01-15	15	51.88	-176.65	29.74	38.3	37.4
1943-01-15	16	51.88	-176.65	29.76	38.3	36.6
1943-01-15	17	51.88	-176.65	29.76	38.3	36.6
1943-01-15	18	51.88	-176.65	29.77	38.3	34.6
1943-01-15	19	51.88	-176.65	29.79	37.4	35.7
1943-01-15	20	51.88	-176.65	29.78	37.4	36.5
1943-01-15	21	51.88	-176.65	29.77	37.4	34.5
1943-01-15	22	51.88	-176.65	29.77	37.4	34.9
1943-01-15	23	51.88	-176.65	29.76	38.3	36.2
1943-01-15	24	51.88	-176.65	29.75	38.3	35.4
1943-01-16	01	51.88	-176.65	29.72	38.3	36.2
1943-01-16	02	51.88	-176.65	29.72	37.4	36.5
1943-01-16	03	51.88	-176.65	29.69	37.4	36.9
1943-01-16	04	51.88	-176.65	29.67	35.4	35.4
1943-01-16	05	51.88	-176.65	29.68	36.3	36.3
1943-01-16	06	51.88	-176.65	29.69	38.3	38.3
1943-01-16	07	51.88	-176.65	29.69	39.4	38.9
1943-01-16	08	51.88	-176.65	29.70	40.3	39.9
1943-01-16	09	51.88	-176.65	29.71	40.3	39.4
1943-01-16	10	51.88	-176.65	29.71	40.3	39.9
1943-01-16	11	51.88	-176.65	29.72	40.3	39.9
1943-01-16	12	51.88	-176.65	29.73	40.3	39.4
1943-01-16	13	51.88	-176.65	29.73	40.3	39.9
1943-01-16	14	51.88	-176.65	29.72	40.3	39.9
1943-01-16	15	51.88	-176.65	29.69	40.3	39.9
1943-01-16	16	51.88	-176.65	29.66	42.4	41.9
1943-01-16	17	51.88	-176.65	29.65	42.4	41.9
1943-01-16	18	51.88	-176.65	29.65	42.4	42.4
1943-01-16	19	51.88	-176.65	29.64	42.4	42.4
1943-01-16	20	51.88	-176.65	29.65	42.4	41.9
1943-01-16	21	51.88	-176.65	29.64	41.4	40.8
1943-01-16	22	51.88	-176.65	29.62	41.4	40.8
1943-01-16	23	51.88	-176.65	29.59	41.4	41.4
1943-01-16	24	51.88	-176.65	29.56	40.3	40.3
1943-01-17	01	51.88	-176.65	29.50	40.3	40.3
1943-01-17	02	51.88	-176.65	29.48	41.4	41.4
1943-01-17	03	51.88	-176.65	29.45	42.4	42.4
1943-01-17	04	51.88	-176.65	29.44	42.1	42.1
1943-01-17	05	51.88	-176.65	29.44	42.4	42.4
1943-01-17	06	51.88	-176.65	29.44	43.3	41.7
1943-01-17	07	51.88	-176.65	29.45	42.4	41.4
1943-01-17	08	51.88	-176.65	29.47	42.4	41.9
1943-01-17	09	51.88	-176.65	29.49	41.4	40.8
1943-01-17	10	51.88	-176.65	29.50	40.3	39.9
1943-01-17	11	51.88	-176.65	29.52	42.4	40.5
1943-01-17	12	51.88	-176.65	29.51	42.4	40.5
1943-01-17	13	51.88	-176.65	29.48	42.4	40.5
1943-01-17	14	51.88	-176.65	29.45	42.4	39.6
1943-01-17	15	51.88	-176.65	29.43	42.4	39.6
1943-01-17	16	51.88	-176.65	29.41	42.4	40.5
1943-01-17	17	51.88	-176.65	29.40	42.4	40.5
1943-01-17	18	51.88	-176.65	29.42	40.3	38.9
1943-01-17	19	51.88	-176.65	29.42	39.4	39.4
1943-01-17	20	51.88	-176.65	29.44	39.4	38.5
1943-01-17	21	51.88	-176.65	29.45	38.3	38.3
1943-01-17	22	51.88	-176.65	29.47	38.3	38.3
1943-01-17	23	51.88	-176.65	29.47	38.3	38.3
1943-01-17	24	51.88	-176.65	29.49	38.3	38.3
1943-01-18	01	51.88	-176.65	29.49	38.3	37.4
1943-01-18	02	51.88	-176.65	29.51	39.4	38.0
1943-01-18	03	51.88	-176.65	29.53	39.4	38.9
1943-01-18	04	51.88	-176.65	29.53	37.4	36.9
1943-01-18	05	51.88	-176.65	29.53	38.3	37.9
1943-01-18	06	51.88	-176.65	29.54	38.3	36.2
1943-01-18	07	51.88	-176.65	29.54	37.4	35.7
1943-01-18	08	51.88	-176.65	29.54	36.3	35.5
1943-01-18	09	51.88	-176.65	29.53	37.4	35.7
1943-01-18	10	51.88	-176.65	29.51	38.3	37.4
1943-01-18	11	51.88	-176.65	29.50	38.3	37.4
1943-01-18	12	51.88	-176.65	29.52	39.4	38.5
1943-01-18	13	51.88	-176.65	29.52	39.4	38.9
1943-01-18	14	51.88	-176.65	29.48	39.4	38.5
1943-01-18	15	51.88	-176.65	29.47	39.4	38.0
1943-01-18	16	51.88	-176.65	29.44	40.3	38.1
1943-01-18	17	51.88	-176.65	29.38	40.3	39.9
1943-01-18	18	51.88	-176.65	29.36	41.4	40.4
1943-01-18	19	51.88	-176.65	29.33	42.4	41.4
1943-01-18	20	51.88	-176.65	29.30	42.4	41.4
1943-01-18	21	51.88	-176.65	29.27	42.4	41.9
1943-01-18	22	51.88	-176.65	29.26	42.4	41.4
1943-01-18	23	51.88	-176.65	29.24	42.4	41.4
1943-01-18	24	51.88	-176.65	29.23	42.4	41.4
1943-01-19	01	51.88	-176.65	29.22	41.4	40.4
1943-01-19	02	51.88	-176.65	29.20	42.4	41.9
1943-01-19	03	51.88	-176.65	29.18	42.4	41.9
1943-01-19	04	51.88	-176.65	29.16	43.3	41.8
1943-01-19	05	51.88	-176.65	29.14	43.3	42.4
1943-01-19	06	51.88	-176.65	29.11	42.4	41.0
1943-01-19	07	51.88	-176.65	29.03	41.4	39.9
1943-01-19	08	51.88	-176.65	29.08	39.9	39.0
1943-01-19	09	51.88	-176.65	29.05	40.3	38.9
1943-01-19	10	51.88	-176.65	29.02	39.4	38.5
1943-01-19	11	51.88	-176.65	29.03	39.4	37.6
1943-01-19	12	51.88	-176.65	29.00	39.4	37.1
1943-01-19	13	51.88	-176.65	28.97	39.4	38.5
1943-01-19	14	51.88	-176.65	28.93	38.3	37.4
1943-01-19	15	51.88	-176.65	28.88	38.3	37.4
1943-01-19	16	51.88	-176.65	28.84	38.3	37.9
1943-01-19	17	51.88	-176.65	28.83	38.3	37.9
1943-01-19	18	51.88	-176.65	28.82	40.3	39.4
1943-01-19	19	51.88	-176.65	28.80	40.3	39.4
1943-01-19	20	51.88	-176.65	28.79	40.3	39.8
1943-01-19	21	51.88	-176.65	28.79	40.3	39.8
1943-01-19	22	51.88	-176.65	28.80	40.3	38.9
1943-01-19	23	51.88	-176.65	28.81	41.4	39.0
1943-01-19	24	51.88	-176.65	28.84	40.3	39.4
1943-01-20	01	51.88	-176.65	28.88	39.4	38.9
1943-01-20	02	51.88	-176.65	28.92	40.3	38.1
1943-01-20	03	51.88	-176.65	28.96	40.3	38.9
1943-01-20	04	51.88	-176.65	28.98	40.3	37.6
1943-01-20	05	51.88	-176.65	29.03	40.3	38.1
1943-01-20	06	51.88	-176.65	29.05	40.3	37.6
1943-01-20	07	51.88	-176.65	29.09	40.3	38.1
1943-01-20	08	51.88	-176.65	29.11	39.4	38.0
